exercise_id,name_es,name_en,category,body_region,exercise_family,primary_pattern,secondary_pattern,movement_angle_deg,muscle_map,region_bias,joint_actions,equipment_type,attachment,body_position,torso_angle_deg,chest_supported,back_supported,grip_orientation,grip_width,elbow_path,laterality,kinetic_chain,is_compound,rom_score,muscle_length_bias,resistance_profile,stability_demand,fatigue_systemic,fatigue_lower_back,fatigue_grip,skill_demand,variant_keys,notes
pendlay_row,Remo Pendlay,Pendlay Row,strength,back,horizontal_row,horizontal_pull,,0,latissimus_dorsi:0.85|trapezius_middle:1.0|rhomboids:0.95|deltoid_posterior:0.60|biceps_brachii:0.50,upper_back:1.0|latissimus_dorsi:0.75,shoulder:extension_or_horizontal_abduction|elbow:flexion|scapula:retraction,barbell,,bent_over,15,false,false,pronated,medium,medium,bilateral,open,true,2,mid,0.5|1.0|0.6,5,5,5,4,5,torso_angle|grip_width,
t_bar_row,Remo T-Bar,T-Bar Row,strength,back,horizontal_row,horizontal_pull,,10,latissimus_dorsi:0.85|trapezius_middle:1.0|rhomboids:0.95|deltoid_posterior:0.60|biceps_brachii:0.50,upper_back:0.90|latissimus_dorsi:0.90,shoulder:extension_or_horizontal_abduction|elbow:flexion|scapula:retraction,landmine,tbar_handle,bent_over,45,false,false,neutral,close,tucked,bilateral,open,true,2,mid,0.7|1.0|0.7,4,4,4,4,3,handle|torso_angle,
chest_supported_t_bar_row,Remo T-Bar con Pecho Apoyado,Chest-Supported T-Bar Row,strength,back,horizontal_row,horizontal_pull,,10,latissimus_dorsi:0.85|trapezius_middle:1.0|rhomboids:0.95|deltoid_posterior:0.60|biceps_brachii:0.50,upper_back:0.90|latissimus_dorsi:0.90,shoulder:extension_or_horizontal_abduction|elbow:flexion|scapula:retraction,plate_loaded_machine,neutral_handles,prone_incline,35,true,false,neutral,medium,medium,bilateral,open,true,3,lengthened,0.7|1.0|0.7,1,3,1,3,2,grip_width|elbow_path,
one_arm_dumbbell_row,Remo con Mancuerna a una Mano,One-Arm Dumbbell Row,strength,back,horizontal_row,horizontal_pull,,0,latissimus_dorsi:1.0|trapezius_middle:0.80|rhomboids:0.80|deltoid_posterior:0.50|biceps_brachii:0.55,latissimus_dorsi:1.0|upper_back:0.75,shoulder:extension_or_horizontal_abduction|elbow:flexion|scapula:retraction,dumbbell,,tripod_supported,30,false,false,neutral,single,tucked,unilateral,open,true,3,lengthened,0.7|1.0|0.7,3,3,2,4,2,elbow_path|torso_angle|bench_support,
chest_supported_dumbbell_row,Remo con Mancuernas Pecho Apoyado,Chest-Supported Dumbbell Row,strength,back,horizontal_row,horizontal_pull,,0,latissimus_dorsi:0.85|trapezius_middle:1.0|rhomboids:0.95|deltoid_posterior:0.60|biceps_brachii:0.50,upper_back:1.0|latissimus_dorsi:0.80,shoulder:extension_or_horizontal_abduction|elbow:flexion|scapula:retraction,dumbbell,,prone_incline,30,true,false,neutral,free,medium,bilateral,open,true,3,lengthened,0.7|1.0|0.7,1,3,1,3,2,bench_angle|elbow_path|grip_orientation,
seated_cable_row_neutral_grip,Remo Sentado en Cable Agarre Neutro,Seated Cable Row Neutral Grip,strength,back,seated_cable_row,horizontal_pull,,0,latissimus_dorsi:1.0|trapezius_middle:0.85|rhomboids:0.80|biceps_brachii:0.55|deltoid_posterior:0.45,latissimus_dorsi:1.0|upper_back:0.80,shoulder:extension_or_horizontal_abduction|elbow:flexion|scapula:retraction,cable,close_neutral_handle,seated,90,false,false,neutral,close,tucked,bilateral,open,true,3,lengthened,0.9|1.0|0.9,2,3,2,3,2,attachment|elbow_path|torso_motion,
seated_cable_row_wide_grip,Remo Sentado en Cable Agarre Amplio,Seated Cable Row Wide Grip,strength,back,seated_cable_row,horizontal_pull,,0,trapezius_middle:1.0|rhomboids:0.95|deltoid_posterior:0.80|latissimus_dorsi:0.65|biceps_brachii:0.45,upper_back:1.0|latissimus_dorsi:0.60,shoulder:extension_or_horizontal_abduction|elbow:flexion|scapula:retraction,cable,wide_bar,seated,90,false,false,pronated,wide,flared,bilateral,open,true,3,lengthened,0.9|1.0|0.9,2,3,2,3,2,attachment|elbow_path|grip_width,
chest_supported_machine_row,Remo en Máquina con Pecho Apoyado,Chest-Supported Machine Row,strength,back,machine_row,horizontal_pull,,0,latissimus_dorsi:0.85|trapezius_middle:1.0|rhomboids:0.95|deltoid_posterior:0.60|biceps_brachii:0.50,upper_back:0.95|latissimus_dorsi:0.90,shoulder:extension_or_horizontal_abduction|elbow:flexion|scapula:retraction,plate_loaded_machine,,seated,90,true,false,neutral_or_pronated,medium,medium,bilateral,open,true,3,lengthened,0.8|1.0|0.9,1,3,1,3,1,grip_orientation|elbow_path|seat_height,
iso_lateral_high_row,Remo Alto Iso-Lateral,Iso-Lateral High Row,strength,back,high_row,diagonal_pull,,35,latissimus_dorsi:0.85|trapezius_middle:0.85|rhomboids:0.80|deltoid_posterior:0.75|biceps_brachii:0.50,upper_back:1.0|latissimus_dorsi:0.75,shoulder:extension_and_horizontal_abduction|elbow:flexion|scapula:retraction,plate_loaded_machine,,seated,80,true,false,neutral,medium,medium_to_flared,independent_bilateral,open,true,3,lengthened,0.7|1.0|0.7,1,3,1,3,1,elbow_path|grip|seat_height,
lat_pulldown_pronated_grip,Jalón al Pecho Prono,Lat Pulldown Pronated Grip,strength,back,lat_pulldown,vertical_pull,,80,latissimus_dorsi:1.0|teres_major:0.65|biceps_brachii:0.60|brachialis:0.45|trapezius_lower:0.35,latissimus_dorsi:1.0,shoulder:adduction_or_extension|elbow:flexion|scapula:depression,cable,wide_bar,seated,80,false,false,pronated,medium_wide,downward,bilateral,open,true,3,lengthened,0.9|1.0|0.9,2,3,1,4,2,grip_width|grip_orientation|attachment|torso_angle,
neutral_grip_lat_pulldown,Jalón al Pecho Agarre Neutro,Neutral-Grip Lat Pulldown,strength,back,lat_pulldown,vertical_pull,,80,latissimus_dorsi:1.0|teres_major:0.65|biceps_brachii:0.60|brachialis:0.45|trapezius_lower:0.35,latissimus_dorsi:1.0,shoulder:adduction_or_extension|elbow:flexion|scapula:depression,cable,neutral_handle,seated,80,false,false,neutral,medium,downward_tucked,bilateral,open,true,3,lengthened,0.9|1.0|0.9,2,3,1,3,2,grip_width|attachment|torso_angle,
chin_up,Dominada Supina,Chin-Up,strength,back,pull_up,vertical_pull,,90,latissimus_dorsi:1.0|biceps_brachii:0.80|brachialis:0.55|teres_major:0.60,latissimus_dorsi:1.0,shoulder:adduction_or_extension|elbow:flexion|scapula:depression,pullup_bar,,suspended,,false,false,supinated,shoulder_width,downward_tucked,bilateral,closed,true,3,lengthened,1.0|1.0|1.0,4,4,1,4,4,grip_width|external_load|assistance,
pull_up,Dominada Prona,Pull-Up,strength,back,pull_up,vertical_pull,,90,latissimus_dorsi:1.0|teres_major:0.65|biceps_brachii:0.60|brachialis:0.45|trapezius_lower:0.35,latissimus_dorsi:1.0,shoulder:adduction_or_extension|elbow:flexion|scapula:depression,pullup_bar,,suspended,,false,false,pronated,medium_wide,downward,bilateral,closed,true,3,lengthened,1.0|1.0|1.0,4,4,1,5,4,grip_width|external_load|assistance,
straight_arm_cable_pulldown,Jalón con Brazos Rectos,Straight-Arm Cable Pulldown,strength,back,straight_arm_pulldown,shoulder_extension,,75,latissimus_dorsi:1.0|teres_major:0.55|triceps_long_head:0.20,latissimus_dorsi:1.0,shoulder:extension|elbow:isometric,cable,straight_bar_or_rope,standing,20,false,false,pronated_or_neutral,medium,fixed_slight_flexion,bilateral,open,false,3,lengthened,0.9|1.0|0.9,3,2,2,2,2,attachment|torso_angle|cable_height,
machine_pullover,Pullover en Máquina,Machine Pullover,strength,back,pullover,shoulder_extension,,90,latissimus_dorsi:1.0|teres_major:0.60|pectoralis_major:0.25|triceps_long_head:0.20,latissimus_dorsi:1.0,shoulder:extension|elbow:isometric,selectorized_machine,,seated,,false,true,neutral,medium,fixed,bilateral,open,false,3,lengthened,0.8|1.0|0.9,1,2,1,1,1,seat_height|rom,
dumbbell_pullover,Pullover con Mancuerna,Dumbbell Pullover,strength,back,pullover,shoulder_extension,,90,latissimus_dorsi:0.85|pectoralis_major:0.55|teres_major:0.50|triceps_long_head:0.20,latissimus_dorsi:0.85|pectoralis_major:0.55,shoulder:extension_to_flexion|elbow:isometric,dumbbell,,supine,,false,true,neutral,close,fixed,bilateral,open,false,3,lengthened,0.4|1.0|0.7,3,2,1,2,3,rom|bench_orientation,
meadows_row,Remo Meadows,Meadows Row,strength,back,horizontal_row,diagonal_pull,,20,latissimus_dorsi:1.0|trapezius_middle:0.70|rhomboids:0.65|deltoid_posterior:0.45|biceps_brachii:0.50,latissimus_dorsi:1.0|upper_back:0.65,shoulder:extension_or_horizontal_abduction|elbow:flexion|scapula:retraction,landmine,barbell_sleeve,staggered_bent_over,40,false,false,neutral,single,tucked,unilateral,open,true,3,lengthened,0.7|1.0|0.7,4,4,3,4,4,stance|torso_angle|elbow_path,
barbell_overhead_press,Press Militar con Barra,Barbell Overhead Press,strength,shoulders,overhead_press,vertical_push,,90,deltoid_anterior:1.0|deltoid_lateral:0.55|triceps_brachii:0.75|trapezius_upper:0.25,,shoulder:flexion_and_abduction|elbow:extension|scapula:upward_rotation,barbell,,standing,90,false,false,pronated,medium,under_bar,bilateral,open,true,2,mid,0.7|1.0|0.7,5,5,4,2,4,grip_width|stance|bar_path,
seated_dumbbell_shoulder_press,Press de Hombro con Mancuernas Sentado,Seated Dumbbell Shoulder Press,strength,shoulders,overhead_press,vertical_push,,90,deltoid_anterior:1.0|deltoid_lateral:0.55|triceps_brachii:0.75|trapezius_upper:0.25,,shoulder:flexion_and_abduction|elbow:extension|scapula:upward_rotation,dumbbell,,seated,85,false,true,neutral_to_pronated,free,scapular_plane,bilateral,open,true,3,mid,0.7|1.0|0.7,3,4,1,2,3,grip_orientation|back_angle|elbow_path,
machine_shoulder_press,Press de Hombro en Máquina,Machine Shoulder Press,strength,shoulders,overhead_press,vertical_push,,90,deltoid_anterior:1.0|deltoid_lateral:0.55|triceps_brachii:0.75|trapezius_upper:0.25,,shoulder:flexion_and_abduction|elbow:extension|scapula:upward_rotation,selectorized_machine,,seated,85,false,true,neutral_or_pronated,medium,scapular_plane,bilateral,open,true,3,balanced,0.7|1.0|0.7,1,3,1,1,1,seat_height|grip_orientation,
arnold_press,Press Arnold,Arnold Press,strength,shoulders,overhead_press,vertical_push,,90,deltoid_anterior:1.0|deltoid_lateral:0.55|triceps_brachii:0.75|trapezius_upper:0.25,,shoulder:flexion_abduction_rotation|elbow:extension|scapula:upward_rotation,dumbbell,,seated,85,false,true,rotating,free,rotating,bilateral,open,true,3,balanced,0.7|1.0|0.7,3,4,1,2,4,rom|back_angle,
dumbbell_lateral_raise,Elevación Lateral con Mancuernas,Dumbbell Lateral Raise,strength,shoulders,lateral_raise,shoulder_abduction,,70,deltoid_lateral:1.0|deltoid_anterior:0.20|supraspinatus:0.25|trapezius_upper:0.20,,shoulder:abduction|scapula:upward_rotation,dumbbell,,standing,,false,false,neutral,neutral,slight_flexion,bilateral,open,false,2,mid,0.2|0.8|1.0,3,2,1,1,2,torso_lean|arm_plane|rom,
cable_lateral_raise,Elevación Lateral en Cable,Cable Lateral Raise,strength,shoulders,lateral_raise,shoulder_abduction,,70,deltoid_lateral:1.0|deltoid_anterior:0.20|supraspinatus:0.25|trapezius_upper:0.20,,shoulder:abduction|scapula:upward_rotation,cable,single_handle,standing,,false,false,neutral,neutral,slight_flexion,unilateral,open,false,3,lengthened,0.8|1.0|0.9,3,2,1,1,2,cable_height|body_position|arm_plane,
machine_lateral_raise,Elevación Lateral en Máquina,Machine Lateral Raise,strength,shoulders,lateral_raise,shoulder_abduction,,70,deltoid_lateral:1.0|deltoid_anterior:0.20|supraspinatus:0.25|trapezius_upper:0.20,,shoulder:abduction|scapula:upward_rotation,selectorized_machine,,seated,,false,true,neutral,neutral,fixed,bilateral,open,false,3,balanced,0.7|1.0|0.9,1,2,1,1,1,seat_height|rom,
lean_away_cable_lateral_raise,Elevación Lateral en Cable Inclinado,Lean-Away Cable Lateral Raise,strength,shoulders,lateral_raise,shoulder_abduction,,70,deltoid_lateral:1.0|deltoid_anterior:0.20|supraspinatus:0.25|trapezius_upper:0.20,,shoulder:abduction|scapula:upward_rotation,cable,single_handle,lean_away_standing,10,false,false,neutral,neutral,slight_flexion,unilateral,open,false,3,lengthened,0.9|1.0|0.8,4,2,1,1,3,lean_angle|cable_height,
dumbbell_front_raise,Elevación Frontal,Dumbbell Front Raise,strength,shoulders,front_raise,shoulder_flexion,,80,deltoid_anterior:1.0|pectoralis_major_clavicular:0.30,,shoulder:flexion|scapula:upward_rotation,dumbbell,,standing,,false,false,neutral_or_pronated,neutral,slight_flexion,bilateral,open,false,2,mid,0.2|0.8|1.0,3,2,1,1,2,grip_orientation|alternating,
reverse_pec_deck,Pec Deck Inverso,Reverse Pec Deck,strength,shoulders,rear_delt_fly,horizontal_abduction,,0,deltoid_posterior:1.0|trapezius_middle:0.65|rhomboids:0.55|infraspinatus:0.35,,shoulder:horizontal_abduction|scapula:retraction,selectorized_machine,,seated,,true,false,neutral,neutral,flared_fixed,bilateral,open,false,3,lengthened,0.8|1.0|0.9,1,2,1,1,1,seat_height|arm_position,
bent_over_dumbbell_rear_delt_raise,Pájaros con Mancuernas,Bent-Over Dumbbell Rear Delt Raise,strength,shoulders,rear_delt_fly,horizontal_abduction,,0,deltoid_posterior:1.0|trapezius_middle:0.65|rhomboids:0.55|infraspinatus:0.35,,shoulder:horizontal_abduction|scapula:retraction,dumbbell,,bent_over,30,false,false,neutral,neutral,flared_fixed,bilateral,open,false,2,mid,0.3|0.8|1.0,4,2,3,1,3,torso_angle|arm_path,
cable_rear_delt_fly,Apertura Posterior en Cable,Cable Rear Delt Fly,strength,shoulders,rear_delt_fly,horizontal_abduction,,0,deltoid_posterior:1.0|trapezius_middle:0.65|rhomboids:0.55|infraspinatus:0.35,,shoulder:horizontal_abduction|scapula:retraction,cable,single_handles,standing,,false,false,neutral,neutral,flared_fixed,bilateral,open,false,3,lengthened,0.9|1.0|0.9,3,2,1,1,2,cable_height|crossed_cables,
face_pull,Face Pull,Face Pull,strength,shoulders,face_pull,rear_delt_pull,external_rotation,10,deltoid_posterior:1.0|infraspinatus:0.75|teres_minor:0.65|trapezius_middle:0.60|rhomboids:0.50,,shoulder:horizontal_abduction_and_external_rotation|elbow:flexion|scapula:retraction,cable,rope,standing,,false,false,neutral,wide,high_flared,bilateral,open,true,3,balanced,0.9|1.0|0.9,3,2,1,2,3,cable_height|elbow_height|external_rotation,
barbell_shrug,Encogimientos con Barra,Barbell Shrug,strength,shoulders,shrug,scapular_elevation,,90,trapezius_upper:1.0|levator_scapulae:0.45,,scapula:elevation,barbell,,standing,,false,false,pronated,medium,straight,bilateral,open,false,2,mid,1.0|1.0|1.0,3,3,2,5,1,grip_width|straps|pause,
barbell_curl,Curl con Barra,Barbell Curl,strength,arms,biceps_curl,elbow_flexion,,,biceps_brachii:1.0|brachialis:0.65|brachioradialis:0.40,,elbow:flexion|forearm:supination_control,barbell,,standing,,false,false,supinated,medium,tucked,bilateral,open,false,3,balanced,0.4|1.0|0.7,3,2,1,2,2,grip_width|strictness,
ez_bar_curl,Curl con Barra EZ,EZ-Bar Curl,strength,arms,biceps_curl,elbow_flexion,,,biceps_brachii:1.0|brachialis:0.65|brachioradialis:0.40,,elbow:flexion|forearm:supination_control,ez_bar,,standing,,false,false,semi_supinated,medium,tucked,bilateral,open,false,3,balanced,0.4|1.0|0.7,3,2,1,2,2,grip_width,
dumbbell_curl,Curl con Mancuernas,Dumbbell Curl,strength,arms,biceps_curl,elbow_flexion,,,biceps_brachii:1.0|brachialis:0.65|brachioradialis:0.40,,elbow:flexion|forearm:supination_control,dumbbell,,standing,,false,false,supinated,single,tucked,independent_bilateral,open,false,3,balanced,0.4|1.0|0.7,3,2,1,2,2,alternating|supination,
hammer_curl,Curl Martillo,Hammer Curl,strength,arms,hammer_curl,elbow_flexion,,,brachialis:1.0|brachioradialis:0.90|biceps_brachii:0.65,,elbow:flexion,dumbbell,,standing,,false,false,neutral,single,tucked,independent_bilateral,open,false,3,balanced,0.4|1.0|0.7,3,2,1,3,2,alternating|cross_body,
incline_dumbbell_curl,Curl Inclinado con Mancuernas,Incline Dumbbell Curl,strength,arms,biceps_curl,elbow_flexion,,,biceps_brachii:1.0|brachialis:0.65|brachioradialis:0.40,,elbow:flexion|forearm:supination_control,dumbbell,,incline_seated,45,false,true,supinated,single,behind_torso,independent_bilateral,open,false,3,lengthened,0.4|1.0|0.6,2,2,1,2,2,bench_angle|supination,
preacher_curl,Curl Predicador,Preacher Curl,strength,arms,preacher_curl,elbow_flexion,,,biceps_brachii:1.0|brachialis:0.65|brachioradialis:0.40,,elbow:flexion|forearm:supination_control,ez_bar,,seated,,true,false,semi_supinated,medium,in_front,bilateral,open,false,3,lengthened,0.7|1.0|0.5,1,2,1,2,1,equipment|grip_width|rom,
standing_cable_curl,Curl en Cable de Pie,Standing Cable Curl,strength,arms,cable_curl,elbow_flexion,,,biceps_brachii:1.0|brachialis:0.65|brachioradialis:0.40,,elbow:flexion|forearm:supination_control,cable,straight_bar,standing,,false,false,supinated,medium,tucked,bilateral,open,false,3,balanced,0.9|1.0|0.9,3,2,1,2,2,attachment|cable_height,
bayesian_cable_curl,Curl Bayesiano,Bayesian Cable Curl,strength,arms,cable_curl,elbow_flexion,,,biceps_brachii:1.0|brachialis:0.65|brachioradialis:0.40,,elbow:flexion|forearm:supination_control,cable,single_handle,standing,,false,false,supinated,single,behind_torso,unilateral,open,false,3,lengthened,0.9|1.0|0.9,3,2,1,2,2,cable_height|shoulder_extension,
spider_curl,Curl Spider,Spider Curl,strength,arms,spider_curl,elbow_flexion,,,biceps_brachii:1.0|brachialis:0.65|brachioradialis:0.40,,elbow:flexion|forearm:supination_control,dumbbell,,prone_incline,45,true,false,supinated,single,in_front,independent_bilateral,open,false,3,shortened_bias,0.4|1.0|0.8,1,2,1,2,2,equipment|bench_angle,
reverse_curl,Curl Inverso,Reverse Curl,strength,arms,reverse_curl,elbow_flexion,,,brachioradialis:1.0|brachialis:0.85|biceps_brachii:0.35|wrist_extensors:0.40,,elbow:flexion|forearm:pronation_isometric,ez_bar,,standing,,false,false,pronated,medium,tucked,bilateral,open,false,3,balanced,0.4|1.0|0.7,3,2,1,4,2,equipment|grip_width,
straight_bar_triceps_pushdown,Extensión de Tríceps en Polea con Barra,Straight-Bar Triceps Pushdown,strength,arms,triceps_pushdown,elbow_extension,,,triceps_brachii:1.0|anconeus:0.25,,elbow:extension,cable,straight_bar,standing,,false,false,pronated,medium,tucked,bilateral,open,false,3,mid,0.9|1.0|0.9,3,2,1,1,1,attachment|grip_width,
rope_triceps_pushdown,Extensión de Tríceps en Polea con Cuerda,Rope Triceps Pushdown,strength,arms,triceps_pushdown,elbow_extension,,,triceps_brachii:1.0|anconeus:0.25,,elbow:extension,cable,rope,standing,,false,false,neutral,medium,tucked,bilateral,open,false,3,mid,0.9|1.0|0.9,3,2,1,1,1,attachment|end_range_separation,
overhead_rope_triceps_extension,Extensión de Tríceps sobre Cabeza con Cuerda,Overhead Rope Triceps Extension,strength,arms,overhead_triceps_extension,elbow_extension,,,triceps_brachii:1.0|anconeus:0.25,triceps_long_head:1.0|triceps_lateral_head:0.70|triceps_medial_head:0.70,elbow:extension,cable,rope,standing,,false,false,neutral,medium,overhead,bilateral,open,false,3,lengthened,0.9|1.0|0.9,3,2,1,1,2,cable_height|torso_angle,
single_arm_overhead_cable_triceps_extension,Extensión Unilateral sobre Cabeza en Cable,Single-Arm Overhead Cable Triceps Extension,strength,arms,overhead_triceps_extension,elbow_extension,,,triceps_brachii:1.0|anconeus:0.25,triceps_long_head:1.0|triceps_lateral_head:0.70|triceps_medial_head:0.70,elbow:extension,cable,single_handle,standing,,false,false,neutral,single,overhead,unilateral,open,false,3,lengthened,0.9|1.0|0.9,3,2,1,1,2,cable_height|arm_position,
ez_bar_skull_crusher,Rompecráneos con Barra EZ,EZ-Bar Skull Crusher,strength,arms,lying_triceps_extension,elbow_extension,,,triceps_brachii:1.0|anconeus:0.25,,elbow:extension,ez_bar,,supine,,false,true,semi_pronated,medium,in_front_to_overhead,bilateral,open,false,3,lengthened,0.5|1.0|0.6,2,2,1,2,3,arm_angle|bar_path,
